aryne_ID,aryne_energy
aryne_279,-551.318
aryne_280,
aryne_281,-1362.9231
aryne_282,-1016.3626
aryne_283,-941.1549
aryne_284,-566.3908
aryne_285,-566.3903
aryne_286,-657.6318
aryne_287,-815.83
aryne_288,-815.7249
aryne_289,-507.3379
aryne_290,
aryne_291,-501.2364
aryne_292,-539.2675
aryne_293,-978.2411
aryne_294,-697.2871
aryne_295,-1020.2152
aryne_296,-693.4348
aryne_297,-768.8283
aryne_298,-410.0654
aryne_299,-923.0036
aryne_300,-602.314
aryne_301,-925.2199
aryne_302,-811.9099
aryne_303,
aryne_304,-903.0677
aryne_305,-602.3034
aryne_306,-677.4876
aryne_307,-378.0839
aryne_308,-378.0683
aryne_309,-378.0173
aryne_310,-622.1086
aryne_311,-657.5917
aryne_312,-906.9097
aryne_313,-831.832
aryne_314,-925.2223
aryne_315,-677.5131
aryne_316,-469.138
aryne_317,-469.1612
aryne_318,-926.8118
aryne_319,-622.0667
aryne_320,-582.4763
aryne_321,-925.1799
aryne_322,-602.1901
aryne_323,-677.4963
aryne_324,-638.0634
aryne_325,-815.7258
aryne_326,-815.7492
aryne_327,-825.2841
aryne_328,-339.8991
aryne_329,-339.9027
aryne_330,
aryne_331,-321.8216
aryne_332,-321.7982
aryne_333,-689.5344
aryne_334,-1343.1114
aryne_335,-860.9947
aryne_336,-507.3195
aryne_337,-469.1485
aryne_338,-677.4858
aryne_339,-504.9641
aryne_340,-909.1933
aryne_341,-909.1749
aryne_342,-381.9011
aryne_343,-381.9026
aryne_344,-381.9036
aryne_345,-381.8287
aryne_346,-426.0732
aryne_347,-576.3442
aryne_348,
aryne_349,
aryne_350,-564.2257
aryne_351,-847.7502
aryne_352,-1091.4387
aryne_353,-1016.3613
aryne_354,-887.1223
aryne_355,-502.3009
aryne_356,-961.0314
aryne_357,
aryne_358,-394.0911
aryne_359,-394.0991
aryne_360,-1040.0839
aryne_361,-1111.2645
aryne_362,-586.1888
aryne_363,-586.1762
aryne_364,-602.1653
aryne_365,-693.4652
aryne_366,-1472.7223
aryne_367,-602.2179
aryne_368,-602.1681
aryne_369,-582.4409
aryne_370,-811.9593
aryne_371,-523.2404
aryne_372,-845.0461
aryne_373,-378.002
aryne_374,-378.0516
aryne_375,-598.5049
aryne_376,-523.3116
aryne_377,-523.3086
aryne_378,-945.053
aryne_379,
aryne_380,-371.9555
aryne_381,-543.1427
aryne_382,-473.0601
aryne_383,-472.9875
aryne_384,-909.2335
aryne_385,-909.1993
aryne_386,-507.2759
aryne_387,-507.2775
aryne_388,-929.0079
aryne_389,-618.2414
aryne_390,-677.4222
aryne_391,
aryne_392,-602.2311
aryne_393,-489.0176
aryne_394,-825.2645
aryne_395,
aryne_396,
aryne_397,
aryne_398,-1283.918
aryne_399,-811.9349
aryne_400,-922.9829
aryne_401,-602.2655
aryne_402,-593.4153
aryne_403,-498.4346
aryne_404,-1243.1996
aryne_405,-543.1313
aryne_406,-504.9359
aryne_407,-489.0599
aryne_408,-505.0491
aryne_409,-827.9389
aryne_410,-564.1785
aryne_411,-582.4899
aryne_412,-337.8183
aryne_413,-941.2042
aryne_414,-1171.9022
aryne_415,-978.2135
aryne_416,-925.2243
aryne_417,-929.0428
aryne_418,-887.2005
aryne_419,-906.9781
aryne_420,-789.3884
aryne_421,
aryne_422,-941.1766
aryne_423,
aryne_424,-1249.7728
aryne_425,-508.7932
aryne_426,-546.9139
aryne_427,
aryne_428,-618.3083
aryne_429,-1362.9251
aryne_430,
aryne_431,-709.2979
aryne_432,
aryne_433,-1170.6974
aryne_434,-410.0456
aryne_435,-606.0977
aryne_436,-900.4222
aryne_437,-602.3333
aryne_438,
aryne_439,-1343.1121
aryne_440,-507.3277
aryne_441,-507.3074
aryne_442,-1171.9007
aryne_443,
aryne_444,-925.2026
aryne_445,-841.2157
aryne_446,-538.0404
aryne_447,-523.3088
aryne_448,-941.1888
aryne_449,
aryne_450,-998.0416
aryne_451,-827.9936
aryne_452,-504.9765
aryne_453,
aryne_454,-887.1879
aryne_455,
aryne_456,-523.3142
aryne_457,-827.9512
aryne_458,
aryne_459,-847.8027
aryne_460,
aryne_461,
aryne_462,-602.2577
aryne_463,
aryne_464,-945.0099
aryne_465,
aryne_466,
aryne_467,-618.2711
aryne_468,
aryne_469,-1243.2039
aryne_470,
aryne_471,
aryne_472,-909.2092
aryne_473,-909.1897
aryne_474,-909.1963
aryne_475,-523.2693
aryne_476,-978.2262
aryne_477,-598.4161
aryne_478,-848.9205
aryne_479,
aryne_480,-507.325
aryne_481,-507.3297
aryne_482,-634.1239
aryne_483,-598.399
aryne_484,-355.9608
aryne_485,-941.188
aryne_486,-689.4881
aryne_487,
aryne_488,-586.2164
aryne_489,-586.2234
aryne_490,
aryne_491,-618.1781
aryne_492,-812.0021
aryne_493,-811.9601
aryne_494,-1245.826
aryne_495,-773.392
aryne_496,-560.2986
aryne_497,-410.0607
aryne_498,-805.8366
aryne_499,-378.0094
aryne_500,-378.0699
aryne_501,-488.9617
aryne_502,-1016.2987
aryne_503,-916.3884
aryne_504,-827.9185
aryne_505,-926.8568
aryne_506,-469.14
aryne_507,-469.1695
aryne_508,-586.2626
aryne_509,-586.2477
aryne_510,
aryne_511,-602.3601
aryne_512,-523.2737
aryne_513,-426.0189
aryne_514,-1362.9829
aryne_515,-506.1461
aryne_516,-812.0074
aryne_517,-811.9188
aryne_518,-850.0787
aryne_519,-850.0175
aryne_520,
aryne_521,
aryne_522,-602.1572
aryne_523,-539.278
aryne_524,-596.0604
aryne_525,-1251.9588
aryne_526,-1251.948
aryne_527,-543.1323
aryne_528,
aryne_529,-975.5861
aryne_530,-1357.9534
aryne_531,-543.1319
aryne_532,-714.7526
aryne_533,
aryne_534,-564.2203
aryne_535,-504.9028
aryne_536,-586.3079
aryne_537,-586.2768
aryne_538,
aryne_539,-543.1041
aryne_540,-1187.8889
aryne_541,-501.2041
aryne_542,-485.239
aryne_543,-925.2519
aryne_544,-582.4115
aryne_545,-582.3793
aryne_546,-903.1947
aryne_547,-1338.2209
aryne_548,
aryne_549,-564.0807
aryne_550,-1020.2158
aryne_551,-600.9876
aryne_552,-582.3955
aryne_553,-489.0728
aryne_554,-614.4135
aryne_555,-673.6193
aryne_556,-1000.2901
aryne_557,-1000.2841
aryne_558,-453.2356
aryne_559,-453.186
aryne_560,-945.0783
aryne_561,-829.0834
aryne_562,-582.4763
aryne_563,-582.4674
aryne_564,
aryne_565,-485.2026
aryne_566,-431.0364
aryne_567,-431.0728
aryne_568,-468.0216
aryne_569,
aryne_570,
aryne_571,-426.0727
aryne_572,-1249.6642
aryne_573,-618.1536
aryne_574,
aryne_575,-925.2372
aryne_576,-1251.9526
aryne_577,-811.916
aryne_578,-524.8392
aryne_579,
aryne_580,-1246.992
aryne_581,-505.0392
aryne_582,-466.5224
aryne_583,-582.4466
aryne_584,-580.2378
aryne_585,
aryne_586,-539.2691
aryne_587,-501.173
aryne_588,-655.3225
aryne_589,
aryne_590,-680.5841
aryne_591,-978.2564
aryne_592,
aryne_593,-1267.983
aryne_594,-564.2634
aryne_595,-887.0542
aryne_596,-887.0518
aryne_597,-677.3247
aryne_598,-677.3088
aryne_599,-1229.9154
aryne_600,-866.0394
aryne_601,-920.2153
aryne_602,-789.8793
aryne_603,-508.9602
aryne_604,-508.9543
aryne_605,-1263.0161
aryne_606,-848.8763
aryne_607,
aryne_608,-622.0712
aryne_609,-1267.9726
aryne_610,-527.0846
aryne_611,-557.612
aryne_612,-618.3074
aryne_613,-922.8966
aryne_614,-677.4288
aryne_615,-811.9353
aryne_616,-978.2261
aryne_617,-378.0747
aryne_618,-378.0777
aryne_619,-378.0799
aryne_620,-505.0011
aryne_621,-489.0083
aryne_622,-832.9764
aryne_623,-832.9244
