data_source,regid,smiles
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr174,Cc1nc(Br)c[nH]1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr175,Brc1c[nH]c2ccccc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr176,Clc1cccc2c(Br)c[nH]c12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr177,Brc1c[nH]c2ncccc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr179,Brc1c[nH]c2ccncc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr18,N#CCc1cccc(Br)c1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr180,Brc1c[nH]c2ncncc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr181,Brc1c[nH]c2cccnc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr182,Brc1c[nH]c2nccnc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr183,CS(=O)(=O)Nc1c[nH]cc(Br)c1=O
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr184,Brc1cc[nH]c1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr185,Brc1c[nH]cn1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr186,Brc1cn[nH]c1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr188,Cc1n[nH]cc1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr189,Brc1c[nH]nc1-c1ccccc1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr19,N#CCc1ccc([N+](=O)[O-])c(Br)c1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr190,Brc1c[nH]nc1-c1ccccn1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr191,OB(O)c1cc(Br)cc(Cl)c1F
