arene_ID,arene_smiles
arene_129,O=c1[nH]c2[nH]ccc(=O)c2oc1=O
arene_130,O=c1ccc2c(=O)c(=O)c(=O)sc=2c1=O
arene_131,c1cn2[nH]nnsn2s1
arene_132,O=c1ccn2c(=O)c(=O)occ2[nH]1
arene_133,O=c1ncc2occc2[nH]1
arene_134,O=c1cc[nH]c2cnoc(=O)c12
arene_135,O=c1cnn2cc[nH]nc1-2
arene_136,O=c1sncn2occsn12
arene_137,c1cnn2occ[nH]n2c1
arene_138,O=c1cc[nH]c2c(=O)nn[nH]c12
arene_139,O=c1ncn2sccn2c1=O
arene_140,O=c1ccc(=O)n2cc[nH]cc1-2
arene_141,O=c1[nH]nc2c(=O)occn2c1=O
arene_142,O=c1oc2occsc=2c(=O)c1=O
arene_143,O=c1ncn2c(=O)ccon2c1=O
arene_144,O=c1oncc2ccoc12
arene_145,O=c1ccon2ocnon12
arene_146,O=c1oc2c(=O)cc[nH]c2c(=O)s1
arene_147,O=c1oc2cc[nH]c2c(=O)s1
arene_148,O=c1sn2cconc-2c1=O
arene_149,O=c1[nH]cnn2occ[nH]n12
arene_150,O=c1ccc(=O)c2cc(=O)c(=O)cc1-2
arene_151,O=c1ccc2nnc(=O)oc2o1
arene_152,O=c1ccn2ncc(=O)c(=O)n2o1
arene_153,O=c1nc2[nH]ccn2c(=O)o1
arene_154,O=c1oc2[nH]ccc2c(=O)s1
arene_155,c1c[nH]n2ccsnc-2[nH]1
arene_156,O=c1ccc2nsc(=O)nc2s1
arene_157,O=c1nc2cc[nH]c(=O)n2c(=O)[nH]1
arene_158,O=c1scc2ccsn2c1=O
arene_159,O=c1[nH]c(=O)c2c(=O)ccoc2[nH]1
arene_160,O=c1ccn2scnsn2o1
arene_161,O=c1ccn2cnsn2c1=O
arene_162,c1cc2ncsc2nn1
arene_163,c1cn2scn[nH]n2cn1
arene_164,c1cn2ocnsc-2no1
arene_165,O=c1cn[nH]c2sccc12
arene_166,O=c1nc2sccc(=O)n2c(=O)[nH]1
arene_167,c1non2ccsn2[nH]1
arene_168,O=c1[nH]ccc2cc[nH]c12
arene_169,O=c1cnn2nnccn12
arene_170,O=c1nc2c(=O)sccc2co1
arene_171,O=c1[nH]cc2cccnn2c1=O
arene_172,c1cn2scnsc-2cs1
arene_173,O=c1[nH]n2occ[nH]n2c(=O)o1
arene_174,O=c1ccc2c(=O)ocnc2[nH]1
arene_175,O=c1ccoc2ccsc(=O)c12
arene_176,O=c1ccc(=O)n2cnonc1-2
arene_177,c1cn2ocnoc-2co1
arene_178,O=c1cn[nH]c2cccnc12
arene_179,c1cc2nonc2s1
arene_180,O=c1ccn2c(=O)[nH]ncn2c1=O
arene_181,O=c1c(=O)c2ccoc2c1=O
arene_182,O=c1ccn2oncn2c1=O
arene_183,O=c1ccc2c[nH]c(=O)nc2[nH]1
arene_184,O=c1cc2cnccc2c[nH]1
arene_185,O=c1oc2sccc2sc1=O
arene_186,c1cc2ncon2c1
arene_187,O=c1ccc(=O)n2ncsnc1-2
arene_188,c1cn2snnoc-2c[nH]1
arene_189,O=c1ccn2oc(=O)oc(=O)c2c1
arene_190,c1nsc2occsc=2[nH]1
arene_191,O=c1ccnco1
arene_192,c1cnc2cncnc2c1
arene_193,O=c1ccc2scnc(=O)c2[nH]1
arene_194,O=c1nn[nH]n2sccon12
arene_195,O=c1[nH]c2occsc=2c1=O
arene_196,O=c1on2sccsn2oc1=O
arene_197,O=c1ccn2sc(=O)oc(=O)c2n1
arene_198,c1cn2oncsc-2cs1
arene_199,O=c1ccc2ccnn2s1
arene_200,O=c1[nH]n2[nH]ccsn2[nH]c1=O
arene_201,c1n[nH]c2coccn-2[nH]1
arene_202,c1cc2cn[nH]n2n1
arene_203,O=c1ccc(=O)c2c(=O)c(=O)sc1=2
arene_204,O=c1[nH]ccn2[nH]cn[nH]n12
arene_205,O=c1ccc2ncoc2s1
arene_206,O=c1ncn2cccc2[nH]1
arene_207,O=c1on2occon2oc1=O
arene_208,O=c1[nH]ccc2[nH]ccc12
arene_209,O=c1nnn2nccnn12
arene_210,c1cnn2[nH]cnon2c1
arene_211,O=c1snc2c(=O)sccn2c1=O
arene_212,O=c1[nH]n2occsn2c(=O)o1
arene_213,O=c1ccn2c(=O)snc2s1
arene_214,O=c1ccn2[nH]ccsn2o1
arene_215,O=c1ccc2c(=O)[nH]nnc2s1
arene_216,O=c1[nH]n2[nH]cc[nH]n2[nH]1
arene_217,O=c1ncc2occoc=2c1=O
arene_218,O=c1ccn2snnn2c1=O
arene_219,O=c1cccc2scnc(=O)n12
arene_220,O=c1ccsn2[nH]cnsn12
arene_221,O=c1[nH]c(=O)c2ccccc2[nH]1
arene_222,O=c1on2cccnn2c1=O
arene_223,O=c1ccc2nnccc2[nH]1
arene_224,O=c1ccoc2c[nH]cc12
arene_225,c1noc2[nH]ccoc=2[nH]1
arene_226,O=c1nccc2ccncn12
arene_227,O=c1nnc2nccnc2[nH]1
arene_228,O=c1ccn2c(=O)[nH]c(=O)oc2c1
arene_229,O=c1ccc2oncsc=2c1=O
arene_230,O=c1onc2ccon2c1=O
arene_231,O=c1cc[nH]n2snc[nH]n12
arene_232,O=c1nnsc2cnccc12
arene_233,O=c1ccn2c(=O)onc2o1
arene_234,O=c1ccn2ncccc2c1
arene_235,O=c1ncc2ccccc2s1
arene_236,O=c1ccc2c[nH]nnn-2c1=O
arene_237,O=c1occc2ccsc(=O)c12
arene_238,O=c1[nH]c2occc2o1
arene_239,O=c1scc2nccnn12
arene_240,O=c1c(=O)c2ccsc2c1=O
arene_241,O=c1on2c(=O)ccn2c(=O)s1
arene_242,c1cn2[nH]ncsn2cn1
arene_243,O=c1ccn2oc(=O)c(=O)[nH]n2c1=O
arene_244,c1csc2scnsc=2[nH]1
arene_245,O=c1cc2sc(=O)ccc2c[nH]1
arene_246,O=c1nc2sc(=O)ccn2c(=O)o1
arene_247,O=c1nc2ccsc(=O)c2n[nH]1
arene_248,c1ncc2[nH]ccc2n1
arene_249,O=c1[nH]c(=O)n2c(=O)ccon12
arene_250,c1cn2[nH]nnoc-2ns1
arene_251,O=c1cnn2c(=O)ccnc2s1
arene_252,c1n[nH]n2[nH]ccn2[nH]1
arene_253,O=c1ccc2sc(=O)sc(=O)c2s1
arene_254,O=c1ccc2c(=O)ccsc2o1
arene_255,c1cn2onnon2s1
arene_256,c1ccc2nnnnc2c1
arene_257,O=c1ccc2coccn-2c1=O
arene_258,O=c1[nH]c2sccc2sc1=O
arene_259,c1nc2sccn2n1
arene_260,O=c1cc2ccc(=O)sc2ns1
arene_261,O=c1oc(=O)n2c(=O)nccc2o1
arene_262,O=c1ncnc2ccncn12
arene_263,O=c1ncc(=O)n2c(=O)ccsn12
arene_264,O=c1cc2c(=O)occn2c(=O)[nH]1
arene_265,O=c1ccn2oncc2c1
arene_266,O=c1ccc2snnoc1=2
arene_267,O=c1scc2cccnn12
arene_268,O=c1nnc2ccccc2o1
arene_269,O=c1oc(=O)c2occc2s1
arene_270,O=c1ccc2ncc(=O)c1=2
arene_271,O=c1ncc2nccnc2[nH]1
arene_272,O=c1ccc2onnc(=O)c2o1
arene_273,c1cnc2c[nH]cc2n1
arene_274,O=c1cnn2[nH]ccsn2o1
arene_275,O=c1[nH]c(=O)n2sccc(=O)n2c1=O
arene_276,O=c1ncn2c(=O)c(=O)ccn2s1
arene_277,c1cc2nnnn2o1
arene_278,O=c1oc2ccnc(=O)n2oc1=O
arene_279,O=c1ccc2c(=O)c(=O)oc(=O)c1=2
arene_280,O=c1ccc2[nH]c(=O)c(=O)sc2o1
arene_281,c1con2oncn2o1
arene_282,c1cnc2nonc2c1
arene_283,c1cnc2[nH]ncc2c1
arene_284,O=c1[nH]c(=O)c2ccnnc2s1
arene_285,O=c1[nH]nc2cnccn12
arene_286,O=c1cnon2occ[nH]n12
arene_287,c1csn2cn[nH]n2o1
arene_288,O=c1ccn2nccc2[nH]1
arene_289,O=c1ccn2c(=O)c(=O)c(=O)c(=O)c2n1
arene_290,c1con2ccscc-2[nH]1
arene_291,O=c1ccc2nocc2[nH]1
arene_292,O=c1cn[nH]n2[nH]ccon12
arene_293,O=c1cc2ccncn2c(=O)[nH]1
arene_294,O=c1oc2nnccc2s1
arene_295,O=c1[nH]n2ccc(=O)n2s1
arene_296,c1cc2cncn2s1
arene_297,O=c1cc2nccnc2n[nH]1
arene_298,O=c1cnn2c(=O)occc2c1
arene_299,O=c1ccc2c(=O)c(=O)ccc1=2
arene_300,O=c1oc(=O)n2sccon2s1
arene_301,c1nnn2sccon2n1
arene_302,O=c1cnc2cnccc2[nH]1
arene_303,O=c1sc(=O)n2ccscc1-2
arene_304,O=c1nc[nH]c2cc[nH]c12
arene_305,c1c[nH]c2snnsc=2[nH]1
arene_306,O=c1cnn2cnccn2c1=O
arene_307,O=c1ccn2[nH]cnc(=O)c2n1
arene_308,O=c1nc2ccc(=O)n-2c(=O)c1=O
arene_309,O=c1cnc2nccn2o1
arene_310,O=c1scnc2ccnnc12
arene_311,O=c1[nH]n2[nH]ccsn2[nH]1
arene_312,O=c1[nH]c2ccoc2s1
arene_313,O=c1ccc(=O)c2scnoc1=2
arene_314,O=c1ccn2c(=O)nccc2o1
arene_315,O=c1nc[nH]c2nccn12
arene_316,c1non2ccocc-2[nH]1
arene_317,O=c1on2c(=O)ccc(=O)n2o1
arene_318,O=c1nc2c(=O)sccn2c(=O)o1
arene_319,c1ncc2occc2n1
