arene_ID,arene_smiles
arene_130,c1cnn2snnsn2c1
arene_131,c1csc2onnsc=2o1
arene_132,O=c1[nH]c2c(=O)occc2c(=O)o1
arene_133,c1non2ccsn2[nH]1
arene_134,O=c1sc(=O)c2ccccc2s1
arene_135,O=c1ncn2[nH]ccsn2s1
arene_136,O=c1ncsc2ccncc12
arene_137,O=c1ccon2scnsn12
arene_138,O=c1ccc2c(=O)[nH]c(=O)sc2s1
arene_139,O=c1nnsn2cccc12
arene_140,O=c1oc2cccn2s1
arene_141,O=c1nnsn2[nH]ccsn12
arene_142,O=c1[nH]c2nccn2[nH]1
arene_143,O=c1nc2c(=O)ccsc2c[nH]1
arene_144,O=c1nnc2ccccc2[nH]1
arene_145,c1cc2csnc2[nH]1
arene_146,O=c1oc2nccc(=O)n2c(=O)s1
arene_147,O=c1oc(=O)n2occc(=O)n2c1=O
arene_148,O=c1cc[nH]c2c(=O)[nH]ccc12
arene_149,O=c1nnn2c(=O)cc[nH]c2n1
arene_150,O=c1occc2nscc12
arene_151,O=c1on2cccnn2c(=O)c1=O
arene_152,O=c1snnc2c(=O)sccc12
arene_153,O=c1nc2sccc2n[nH]1
arene_154,c1cn2sccsc-2ns1
arene_155,O=c1ccn2cnccn2c1=O
arene_156,O=c1ccn2oc(=O)oc2c1
arene_157,c1nsn2ccsn2[nH]1
arene_158,c1cc2scnc2o1
arene_159,O=c1cnc2ccsc2s1
arene_160,c1csc2[nH]nn[nH]c=2o1
arene_161,O=c1ncc2nccn2s1
arene_162,O=c1ccc2ccoc(=O)c2o1
arene_163,O=c1cc2ccsc2co1
arene_164,O=c1oncc2ncccc12
arene_165,c1cn2occon2[nH]1
arene_166,O=c1cc[nH]n2[nH]nc[nH]n12
arene_167,O=c1ccc2c(=O)ccoc2o1
arene_168,O=c1nc2sccon-2c1=O
arene_169,O=c1cncc2ccoc(=O)n12
arene_170,O=c1sccc2cocc12
arene_171,c1cn2ccsc2n1
arene_172,O=c1ccsc(=O)o1
arene_173,O=c1ncc2occc(=O)c2[nH]1
arene_174,O=c1cnn2[nH]ccc(=O)c2c1
arene_175,O=c1ccsc2c[nH]c(=O)n12
arene_176,O=c1ccnc2cc[nH]n12
arene_177,O=c1nccc2cnnnn12
arene_178,O=c1occ2occn12
arene_179,O=c1ncn2ccoc(=O)n2c1=O
arene_180,O=c1ccnc2scnc(=O)n12
arene_181,O=c1ccoc2ccsc12
arene_182,c1coc2[nH]ncsc=2[nH]1
arene_183,O=c1nnc2c(=O)cc[nH]c2s1
arene_184,O=c1sc2sccsc=2c1=O
arene_185,O=c1ccn2ncocc1-2
arene_186,O=c1cc2cccnn2c(=O)o1
arene_187,O=c1ccn2cnc(=O)c(=O)n2s1
arene_188,c1cn2onn[nH]n2s1
arene_189,O=c1ccn2cn[nH]nc1-2
arene_190,O=c1nc2sccc2no1
arene_191,c1csn2nnon2o1
arene_192,O=c1ncn2ccc(=O)oc2n1
arene_193,O=c1ccn2snnc(=O)n2c1=O
arene_194,c1noc2[nH]ccoc=2[nH]1
arene_195,O=c1on2sccn2c(=O)c1=O
arene_196,O=c1ccn2c(=O)cc[nH]n2c1=O
arene_197,O=c1oc2ccnn2oc1=O
arene_198,O=c1cc2[nH]ccc2ns1
arene_199,c1csn2cnocc-2s1
arene_200,O=c1[nH]ncc2ncccc12
arene_201,O=c1ccn2nccc2o1
arene_202,c1cc2c[nH]cc2o1
arene_203,O=c1ncc2sccoc1=2
arene_204,O=c1ccc2c(=O)sc(=O)sc2s1
arene_205,O=c1ncn2c(=O)ccn2o1
arene_206,O=c1nc2ccsc2n[nH]1
arene_207,O=c1ccn2c(=O)c(=O)ncn2s1
arene_208,O=c1ccsc2nc[nH]c(=O)c12
arene_209,c1cc2nn[nH]n2c1
arene_210,O=c1cnn2sccc(=O)c2c1
arene_211,c1cc2nncn2[nH]1
arene_212,O=c1onnc2ccccc12
arene_213,O=c1oc(=O)c2ccsc2o1
arene_214,O=c1sc(=O)c2c(=O)ccsc2s1
arene_215,c1csc2nsccn-2[nH]1
arene_216,O=c1ccn2sncsn2o1
arene_217,O=c1cnn2cccnn2c1=O
arene_218,O=c1nccc2nc[nH]n12
arene_219,O=c1ccc2c(=O)occc2o1
arene_220,c1cn2oncsc-2cs1
arene_221,O=c1ccn2[nH]cc[nH]n2o1
arene_222,O=c1ccn2c(=O)ncn2s1
arene_223,O=c1cc2ccsc(=O)c2c[nH]1
arene_224,c1cn2onnon2s1
arene_225,O=c1cnn2ccoc(=O)c2n1
arene_226,O=c1cnc2n[nH]ccn1-2
arene_227,O=c1on2nnccn2c(=O)c1=O
arene_228,c1csn2sccn2o1
arene_229,O=c1[nH]nc2occn2c1=O
arene_230,O=c1ccc2oc(=O)ccc2o1
arene_231,O=c1cc[nH]c2c(=O)[nH]cnc12
arene_232,c1cc2cn[nH]c2s1
arene_233,c1cc2ocnc2cn1
arene_234,O=c1ncsn2sccon12
arene_235,O=c1cc[nH]n2[nH]nn[nH]n12
arene_236,O=c1ccn2c(=O)nc[nH]n2c1=O
arene_237,c1csn2scnn2[nH]1
arene_238,O=c1ccc2cocnn-2c1=O
arene_239,c1csc2sncsc=2s1
arene_240,c1ccc2nonc2c1
arene_241,O=c1sncc2ccsc12
arene_242,c1coc2cscnn-2[nH]1
arene_243,O=c1[nH]c2cc[nH]c2oc1=O
arene_244,c1cc2ncnn2nn1
arene_245,O=c1cnc2ccsc(=O)c2[nH]1
arene_246,O=c1occ2cnccn12
arene_247,c1ccc2nnnnc2c1
arene_248,O=c1ccoc2ncoc12
arene_249,O=c1ncn2[nH]ccon2s1
arene_250,O=c1ccc2n[nH]c(=O)n2[nH]1
arene_251,O=c1cc[nH]c2sncc12
arene_252,O=c1ccoc2c(=O)sncc12
arene_253,O=c1nnn2occon2[nH]1
arene_254,O=c1on2cconc-2c(=O)c1=O
arene_255,O=c1[nH]nc2sccn12
arene_256,O=c1[nH]c(=O)n2c(=O)ccnc2s1
arene_257,c1cn2nncc2nn1
arene_258,O=c1cc2[nH]ccn2c(=O)[nH]1
arene_259,O=c1on2ccsn2c1=O
arene_260,c1cn2onn[nH]n2nn1
arene_261,O=c1[nH]n2c(=O)ccc(=O)n2[nH]1
arene_262,O=c1[nH]n2c(=O)ccn2c(=O)o1
arene_263,O=c1ccn2[nH]cnn12
arene_264,c1cnc2n[nH]cc2c1
arene_265,O=c1ccc2[nH]c(=O)nnc2[nH]1
arene_266,O=c1cc2ccncc2co1
arene_267,O=c1cnoc2ccsc12
arene_268,O=c1ccsc2c(=O)occc12
arene_269,c1cn2ocn[nH]n2nn1
arene_270,O=c1ccoc2scnc12
arene_271,O=c1nc2cnccn2c(=O)[nH]1
arene_272,O=c1ccc2c(=O)c(=O)[nH]c1=2
arene_273,O=c1nnn2ccsc(=O)c2n1
arene_274,O=c1ccc2cc(=O)c(=O)n-2c1=O
arene_275,c1cnc2ocnc2n1
arene_276,O=c1ccc2sc(=O)ccc2s1
arene_277,O=c1nnon2nccc12
arene_278,O=c1sc(=O)n2cconc1-2
arene_279,O=c1sccn2cnnc12
arene_280,O=c1ccoc2ocnc(=O)c12
arene_281,O=c1ccsc2nscc12
arene_282,O=c1ccoc2c(=O)ncoc12
arene_283,O=c1ccn2c(=O)oc(=O)oc2n1
arene_284,c1csn2nnncn2[nH]1
arene_285,O=c1snc2ccnnn2c1=O
arene_286,c1cnc2[nH]ncc2c1
arene_287,c1csn2ccscc-2[nH]1
arene_288,O=c1ccsc2oncc12
