arene_id,arene_smiles,aryne_id,aryne_smiles
arene_4728,O=c1occc2nnsc12,aryne_5433,O=c1oc#cc2nnsc12
arene_4729,O=c1ccc2[nH]c(=O)c(=O)c1=2,aryne_5434,O=c1c#cc2[nH]c(=O)c(=O)c1=2
arene_4730,O=c1snc2[nH]ccc(=O)n2c1=O,aryne_5435,O=c1snc2[nH]c#cc(=O)n2c1=O
arene_4731,O=c1[nH]c2cc[nH]c(=O)c2c(=O)o1,aryne_5436,O=c1[nH]c2c#c[nH]c(=O)c2c(=O)o1
arene_4732,O=c1cc[nH]c2n[nH]c(=O)n12,aryne_5437,O=c1c#c[nH]c2n[nH]c(=O)n12
arene_4733,c1cc2cnsc2o1,aryne_5438,c1oc2sncc2c#1
arene_4734,c1ccn2sncsn2c1,aryne_5439,c1ccn2sncsn2c#1
arene_4734,c1ccn2sncsn2c1,aryne_5440,c1ccn2scnsn2c#1
arene_4735,O=c1nnc2nccc(=O)n2s1,aryne_5441,O=c1nnc2nc#cc(=O)n2s1
arene_4736,O=c1onc2[nH]ccc(=O)n2c1=O,aryne_5442,O=c1onc2[nH]c#cc(=O)n2c1=O
arene_4737,O=c1nnc2noccn-2c1=O,aryne_5443,O=c1nnc2noc#cn-2c1=O
arene_4738,O=c1[nH]c(=O)c2ccsc2[nH]1,aryne_5444,O=c1[nH]c(=O)c2c#csc2[nH]1
arene_4739,O=c1ccc2[nH]c(=O)sc2s1,aryne_5445,O=c1c#cc2[nH]c(=O)sc2s1
arene_4740,O=c1ccnc2ccsn12,aryne_5446,O=c1c#cnc2ccsn12
arene_4740,O=c1ccnc2ccsn12,aryne_5447,O=c1ccnc2c#csn12
arene_4741,O=c1nc2[nH]ccc2n[nH]1,aryne_5448,O=c1nc2[nH]c#cc2n[nH]1
arene_4742,c1cn2onnsn2o1,aryne_5449,c1on2snnon2c#1
arene_4743,c1cc2cnoc2o1,aryne_5450,c1oc2oncc2c#1
arene_4744,O=c1cc2c(=O)sccc2no1,aryne_5451,O=c1cc2c(=O)sc#cc2no1
arene_4745,c1c[nH]c2[nH]nn[nH]c=2[nH]1,aryne_5452,c1[nH]c2[nH]nn[nH]c=2[nH]c#1
arene_4746,O=c1ccsc2c(=O)onnc12,aryne_5453,O=c1c#csc2c(=O)onnc12
arene_4747,c1cc2[nH]ccn2n1,aryne_5454,c1[nH]c2ccnn2c#1
arene_4748,c1c[nH]n2nnonc-2[nH]1,aryne_5455,c1[nH]c2nonnn-2[nH]c#1
arene_4749,O=c1cc2ccsn2c(=O)s1,aryne_5456,O=c1cc2c#csn2c(=O)s1
arene_4750,O=c1ccoc2cocc12,aryne_5457,O=c1c#coc2cocc12
arene_4751,O=c1ncon2occ[nH]n12,aryne_5458,O=c1ncon2oc#c[nH]n12
arene_4752,c1cc2[nH]cnc2nn1,aryne_5459,c1nnc2nc[nH]c2c#1
arene_4753,O=c1ccc2nnncc2s1,aryne_5460,O=c1c#cc2nnncc2s1
arene_4754,O=c1cc2ccnnn2nn1,aryne_5461,O=c1cc2c#cnnn2nn1
arene_4755,O=c1ccc2cocnn-2c1=O,aryne_5462,O=c1c#cc2cocnn-2c1=O
arene_4756,O=c1ccc2nnc(=O)c=2c1=O,aryne_5463,O=c1c#cc2nnc(=O)c=2c1=O
arene_4757,O=c1cc[nH]n2[nH]nnsn12,aryne_5464,O=c1c#c[nH]n2[nH]nnsn12
arene_4758,O=c1ccon2sncsn12,aryne_5465,O=c1c#con2sncsn12
arene_4759,c1cnn2[nH]cnon2c1,aryne_5466,c1cnn2[nH]cnon2c#1
arene_4760,O=c1cc2ncccn2c(=O)o1,aryne_5467,O=c1cc2ncc#cn2c(=O)o1
arene_4761,O=c1sccn2onnsn12,aryne_5468,O=c1sc#cn2onnsn12
