bad_hetero_ID,no_arene_smiles
no_arene_110,O=c1nn[nH]c2n[nH]nc12
no_arene_111,c1nn2ocnsc-2co1
no_arene_112,O=c1nnc2nonnn-2c1=O
no_arene_113,O=c1ncn2nc[nH]cc1-2
no_arene_114,O=c1nc[nH]c2cnnnc12
no_arene_115,O=c1cnc2conc2[nH]1
no_arene_116,O=c1[nH]c2conc2[nH]1
no_arene_117,O=c1oc(=O)n2nn[nH]nc1-2
no_arene_118,O=c1oncn2scn[nH]n12
no_arene_119,O=c1nnoc2onnc12
no_arene_120,c1nc2n[nH]cc2o1
no_arene_121,O=c1[nH]c(=O)c2ocnc(=O)c2s1
no_arene_122,O=c1nc2oc(=O)sc(=O)c2cs1
no_arene_123,c1nn2onnon2[nH]1
no_arene_124,O=c1cc2nnsn2c(=O)s1
no_arene_125,O=c1nnc2snn[nH]c1=2
no_arene_126,O=c1ncc2c(=O)nc[nH]c2s1
no_arene_127,n1nsn2onnn2o1
no_arene_128,O=c1[nH]c(=O)n2ocn[nH]n2o1
no_arene_129,O=c1[nH]n2scn[nH]n2s1
no_arene_130,O=c1cc2[nH]cnc(=O)n2nn1
no_arene_131,O=c1ncc2nc(=O)snc2[nH]1
no_arene_132,O=c1nn[nH]n2ocn[nH]n12
no_arene_133,O=c1[nH]nc2cncnn12
no_arene_134,O=c1[nH]c(=O)c2c[nH]nc2s1
no_arene_135,O=c1cc2cnoc2no1
no_arene_136,O=c1cnc2c(=O)c(=O)c(=O)sc1=2
no_arene_137,O=c1on2ncoc(=O)n2c(=O)c1=O
no_arene_138,O=c1nc2c(=O)sncc2ns1
no_arene_139,O=c1oc(=O)n2c(=O)[nH]ncn2c1=O
no_arene_140,O=c1cc2c(=O)ncon2c(=O)o1
no_arene_141,O=c1[nH]c2cnnnc2oc1=O
no_arene_142,O=c1[nH]c2noc(=O)c(=O)n2[nH]c1=O
no_arene_143,O=c1ncc2scnoc1=2
no_arene_144,O=c1[nH]cnn2[nH]nc[nH]n12
no_arene_145,O=c1scnc2cncnc12
no_arene_146,O=c1[nH]c2ncoc2[nH]1
no_arene_147,O=c1ncc2nnsc(=O)c2s1
no_arene_148,O=c1on2cnsnc-2c1=O
no_arene_149,c1non2oncn2[nH]1
no_arene_150,O=c1nnn2onnc(=O)c2n1
no_arene_151,O=c1[nH]c(=O)c2sc(=O)sc2s1
no_arene_152,O=c1[nH]cc2nnoc(=O)n12
no_arene_153,O=c1[nH]c(=O)n2cnsnc-2c1=O
no_arene_154,O=c1oc(=O)n2[nH]nnc(=O)n2c1=O
no_arene_155,n1nn2snnoc-2no1
no_arene_156,O=c1nc2nn[nH]c2co1
no_arene_157,O=c1ncc(=O)n2[nH]ncn12
no_arene_158,O=c1oc(=O)c2csc(=O)cc2o1
no_arene_159,O=c1ncn2ocnn12
no_arene_160,O=c1cc2[nH]nn[nH]c-2cc1=O
no_arene_161,O=c1ocnc2nnsc(=O)c12
no_arene_162,O=c1onc2nc[nH]n2c1=O
no_arene_163,O=c1[nH]cno1
no_arene_164,O=c1[nH]n2nnonc-2c(=O)c1=O
