arene_ID,arene_energy
arene_259,-813.3034
arene_260,
arene_261,-904.4215
arene_262,-603.6484
arene_263,-678.8238
arene_264,-379.4154
arene_264,-379.4154
arene_264,-379.4154
arene_265,-623.4571
arene_266,-658.921
arene_267,-908.3189
arene_268,-833.2008
arene_269,-926.5499
arene_270,-678.8459
arene_271,-470.5311
arene_272,-470.5586
arene_273,-928.1546
arene_274,-623.4153
arene_275,-583.8253
arene_276,-926.5134
arene_277,-603.5552
arene_278,-678.8345
arene_279,-639.4222
arene_280,-817.0879
arene_280,-817.0879
arene_281,-826.606
arene_282,-341.2917
arene_282,-341.2917
arene_283,
arene_284,-323.1449
arene_284,-323.1449
arene_285,-690.8934
arene_286,-1344.447
arene_287,-862.3556
arene_288,-508.6645
arene_289,-470.5501
arene_290,-678.8209
arene_291,-506.3939
arene_292,-910.5253
arene_292,-910.5253
arene_293,-383.2345
arene_293,-383.2345
arene_293,-383.2345
arene_293,-383.2345
arene_294,-427.4101
arene_295,-577.7114
arene_296,
arene_297,
arene_298,-565.5926
arene_299,-849.0924
arene_300,-1092.7555
arene_301,-1017.6953
arene_302,-888.4576
arene_303,-503.6595
arene_304,-962.3443
arene_305,
arene_306,-395.4275
arene_306,-395.4275
arene_307,-1041.4027
arene_308,-1112.6089
arene_309,-587.5199
arene_309,-587.5199
arene_310,-603.5398
arene_311,-694.8403
arene_312,-1474.0634
arene_313,-603.5384
arene_313,-603.5384
arene_314,-583.7837
arene_315,-813.3475
arene_316,-524.575
arene_317,-846.4162
arene_318,-379.4006
arene_318,-379.4006
arene_319,-599.8431
arene_320,-524.6508
arene_320,-524.6508
arene_321,-946.3655
arene_322,
arene_323,-373.3504
arene_324,-544.5148
arene_325,-474.3924
arene_325,-474.3924
arene_326,-910.5466
arene_326,-910.5466
arene_327,-508.6102
arene_327,-508.6102
arene_328,-930.3576
arene_329,-619.5939
arene_330,-678.7936
arene_331,
arene_332,-603.5834
arene_333,-490.4264
arene_334,-826.5856
arene_335,
arene_336,
arene_337,
arene_338,-1285.2256
arene_339,-813.3357
arene_340,-924.3015
arene_341,-603.5955
arene_342,-594.7581
arene_343,-499.7575
arene_344,-1244.5322
arene_345,-544.4757
arene_346,-506.3493
arene_347,-490.4085
arene_348,-506.3802
arene_349,-829.3057
arene_350,-565.5752
arene_351,-583.8168
arene_352,-339.1412
arene_353,-942.5269
arene_354,-1173.238
arene_355,-979.5322
arene_356,-926.552
arene_357,-930.3527
arene_358,-888.5125
arene_359,-908.3121
arene_360,-790.7215
arene_361,
arene_362,-942.5237
arene_363,
arene_364,-1251.0852
arene_365,-510.2116
arene_366,-548.3168
arene_367,
arene_368,-619.6613
arene_369,-1364.2373
arene_370,
arene_371,-710.6487
arene_372,
arene_373,-1172.0656
arene_374,-411.4337
arene_375,-607.4406
arene_376,-901.7532
arene_377,-603.6624
arene_378,
arene_379,-1344.4216
arene_380,-508.6625
arene_380,-508.6625
arene_381,-1173.2134
arene_382,
arene_383,-926.5441
arene_384,-842.5666
arene_385,-539.3877
arene_386,-524.6736
arene_387,-942.4974
arene_388,
arene_389,-999.3892
arene_390,-829.3277
arene_391,-506.373
arene_392,
arene_393,-888.5383
arene_394,
arene_395,-524.6425
arene_396,-829.3177
arene_397,
arene_398,-849.1507
arene_399,
arene_400,
arene_401,-603.6345
arene_402,
arene_403,-946.3206
arene_404,
arene_405,
arene_406,-619.6113
arene_407,
arene_408,-1244.535
arene_409,
arene_410,
arene_411,-910.5356
arene_412,-910.5151
arene_412,-910.5151
arene_413,-524.6012
arene_414,-979.6143
arene_415,-599.7646
arene_416,-850.2827
arene_417,
arene_418,-508.6614
arene_418,-508.6614
arene_419,-635.4954
arene_420,-599.7344
arene_421,-357.3544
arene_422,-942.5254
arene_423,-690.8233
arene_424,
arene_425,-587.5494
arene_425,-587.5494
arene_426,
arene_427,-619.5534
arene_428,-813.3349
arene_428,-813.3349
arene_429,-1247.2297
arene_430,-774.7072
arene_431,-561.6476
arene_432,-411.3997
arene_433,-807.208
arene_434,-379.4061
arene_434,-379.4061
arene_435,-490.3574
arene_436,-1017.6293
arene_437,-917.7232
arene_438,-829.326
arene_439,-928.1739
arene_440,-470.5285
arene_440,-470.5285
arene_441,-587.6003
arene_441,-587.6003
arene_442,
arene_443,-603.6878
arene_444,-524.616
arene_445,-427.42
arene_446,-1364.3071
arene_447,-507.489
arene_448,-813.3213
arene_448,-813.3213
arene_449,-851.3876
arene_449,-851.3876
arene_450,
arene_451,
arene_452,-603.4896
arene_453,-540.6078
arene_454,-597.4517
arene_455,-1253.2696
arene_455,-1253.2696
arene_456,-544.4675
arene_457,
arene_458,-976.9126
arene_459,-1359.2736
arene_460,-544.4702
arene_461,-716.1393
arene_462,
arene_463,-565.6214
arene_464,-506.3087
arene_465,-587.6339
arene_465,-587.6339
arene_466,
arene_467,-544.4336
arene_468,-1189.2283
arene_469,-502.5363
arene_470,-486.5987
arene_471,-926.5686
arene_472,-583.7375
arene_472,-583.7375
arene_473,-904.5434
arene_474,-1339.5381
arene_475,-565.4651
arene_475,-565.4651
arene_476,-1021.5517
arene_477,-602.3142
arene_478,-583.7385
arene_479,-490.4224
arene_480,-615.7436
arene_481,-674.9675
arene_482,-1001.6175
arene_482,-1001.6175
arene_483,-454.5847
arene_483,-454.5847
arene_484,-946.4111
arene_485,-830.4423
arene_486,-583.812
arene_486,-583.812
arene_487,
arene_488,-486.5394
arene_489,-432.4167
arene_489,-432.4167
arene_490,-469.3958
arene_490,-469.3958
arene_491,
arene_492,-427.4143
arene_493,-1251.082
arene_494,-619.4872
arene_495,
arene_496,-926.5541
arene_497,-1253.2615
arene_498,-813.293
arene_499,-526.1846
arene_500,-1248.3206
arene_500,-1248.3206
arene_501,-506.3656
arene_502,-467.8728
arene_503,-583.7795
arene_504,-581.5894
arene_505,
arene_506,-540.6127
arene_507,-502.5874
arene_508,-656.7091
arene_509,
arene_510,-681.9012
arene_511,-979.6457
arene_512,
arene_513,-1269.2959
arene_514,-565.5981
arene_515,-888.3998
arene_515,-888.3998
arene_516,-678.6608
arene_516,-678.6608
arene_517,-1231.2839
arene_518,-867.3489
arene_519,-921.5295
arene_520,-791.2786
arene_521,-510.298
arene_521,-510.298
arene_522,-1264.3137
arene_523,-850.2332
arene_523,-850.2332
arene_524,-623.4305
arene_525,-1269.285
arene_526,-528.4157
arene_527,-558.9446
arene_528,-619.6475
arene_529,-924.2977
arene_530,-678.7655
arene_531,-813.3327
arene_532,-979.5608
arene_533,-379.4091
arene_533,-379.4091
arene_533,-379.4091
arene_534,-506.413
arene_535,-490.4094
arene_536,-834.3037
arene_536,-834.3037
arene_537,-769.9409
arene_538,-562.8126
arene_538,-562.8126
arene_539,-1269.2916
arene_540,-942.4541
arene_541,-888.5112
arene_542,-636.7605
arene_543,-813.293
arene_544,
arene_545,-979.5223
arene_546,-926.5355
arene_546,-926.5355
arene_547,-699.5397
arene_548,-599.6826
arene_548,-599.6826
arene_549,-1017.6616
arene_550,-524.5573
arene_551,-694.6469
arene_552,-581.5737
arene_553,-678.7313
arene_554,-565.6154
arene_555,
arene_556,
arene_557,-862.4015
arene_558,-888.4112
arene_559,-829.353
